Date,AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,FB,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
2013-01-02,19.608213424682617,35.119998931884766,257.30999755859375,32.540000915527344,12.029999732971191,93.19999694824219,101.44999694824219,110.38999938964844,51.099998474121094,28.0,360.27459716796875,361.98699951171875,63.47999954223633,70.83999633789062,44.65999984741211,37.599998474121094,51.027000427246094,27.6200008392334,3.180000066757202,24.582542419433594,69.38999938964844,7.072000026702881,54.540000915527344,38.845001220703125,88.70999908447266
2013-01-03,19.360713958740234,34.83000183105469,258.4800109863281,32.709999084472656,11.960000038146973,93.62000274658203,102.48999786376953,109.91999816894531,51.209999084472656,27.770000457763672,360.48382568359375,362.19720458984375,63.29999923706055,70.73999786376953,44.56999969482422,37.599998474121094,51.099998474121094,27.25,3.182499885559082,24.525617599487305,68.94999694824219,6.953999996185303,51.9900016784668,38.875,88.55000305175781
2013-01-04,18.821428298950195,34.38999938964844,259.1499938964844,32.5,12.109999656677246,93.8499984741211,102.16000366210938,110.5,52.189998626708984,28.760000228881836,367.60711669921875,369.3543395996094,63.18000030517578,71.55000305175781,45.36000061035156,37.65999984741211,51.097999572753906,26.739999771118164,3.2874999046325684,24.629980087280273,69.08999633789062,6.880000114440918,52.09000015258789,39.192501068115234,88.95999908447266
2013-01-07,18.71071434020996,34.459999084472656,268.4599914550781,32.31999969482422,12.09000015258789,93.44999694824219,101.37000274658203,109.75,50.970001220703125,29.420000076293945,366.0031433105469,367.74273681640625,62.84000015258789,71.4000015258789,45.40999984741211,37.29999923706055,51.952999114990234,26.690000534057617,3.192500114440918,24.648956298828125,68.62000274658203,6.868000030517578,52.09000015258789,39.47249984741211,87.93000030517578
2013-01-08,18.761070251464844,33.709999084472656,266.3800048828125,32.099998474121094,11.979999542236328,93.80999755859375,101.18000030517578,109.26000213623047,50.7599983215332,29.059999465942383,365.28082275390625,367.01702880859375,63.220001220703125,71.41000366210938,45.5,37.040000915527344,51.78200149536133,26.549999237060547,3.122499942779541,24.686906814575195,68.51000213623047,6.736000061035156,51.400001525878906,39.84000015258789,88.4800033569336
2013-01-09,18.467857360839844,33.900001525878906,266.3500061035156,32.810001373291016,11.430000305175781,93.31999969482422,101.2300033569336,109.54000091552734,50.779998779296875,30.59000015258789,367.68182373046875,369.429443359375,63.16999816894531,71.7300033569336,45.470001220703125,37.029998779296875,53.23899841308594,26.700000762939453,3.052500009536743,25.11385154724121,68.87999725341797,6.728000164031982,52.369998931884766,40.4474983215332,88.13999938964844
2013-01-10,18.696786880493164,34.0,265.3399963378906,33.52000045776367,11.779999732971191,94.6500015258789,100.73999786376953,110.47000122070312,50.790000915527344,31.299999237060547,369.3555603027344,371.1111145019531,63.619998931884766,72.19000244140625,46.150001525878906,36.959999084472656,52.76499938964844,26.459999084472656,3.057499885559082,25.388994216918945,69.2699966430664,6.705999851226807,53.11000061035156,40.127498626708984,89.0999984741211
2013-01-11,18.582143783569336,33.849998474121094,267.94000244140625,34.34000015258789,11.630000114440918,94.38999938964844,100.27999877929688,111.7300033569336,50.58000183105469,31.719999313354492,368.61334228515625,370.3653564453125,63.70000076293945,72.3499984741211,46.13999938964844,36.90999984741211,52.86800003051758,26.829999923706055,3.052500009536743,25.16128921508789,69.22000122070312,6.581999778747559,52.81999969482422,40.290000915527344,89.61000061035156
2013-01-14,17.91964340209961,34.09000015258789,272.7300109863281,34.56999969482422,11.470000267028809,95.36000061035156,100.37000274658203,112.8499984741211,50.59000015258789,30.950000762939453,360.27459716796875,361.98699951171875,63.47999954223633,72.55999755859375,45.880001068115234,36.9900016784668,52.35100173950195,26.889999389648438,3.049999952316284,25.370019912719727,69.62999725341797,6.6519999504089355,53.36000061035156,40.162498474121094,89.58000183105469
2013-01-15,17.354286193847656,34.599998474121094,271.8999938964844,33.869998931884766,11.550000190734863,95.36000061035156,101.1500015258789,113.44000244140625,51.09000015258789,30.100000381469727,361.1114807128906,362.82781982421875,63.95000076293945,72.37000274658203,46.349998474121094,37.31999969482422,52.279998779296875,27.209999084472656,2.994999885559082,25.256166458129883,69.87999725341797,6.78000020980835,53.619998931884766,40.11249923706055,89.52999877929688
2013-01-16,18.074642181396484,35.540000915527344,268.92999267578125,34.560001373291016,11.779999732971191,95.02999877929688,101.52999877929688,113.97000122070312,51.529998779296875,29.850000381469727,356.2596435546875,357.95294189453125,63.86000061035156,72.58000183105469,46.81999969482422,37.31999969482422,52.12900161743164,27.040000915527344,3.0225000381469727,25.246679306030273,69.33999633789062,6.820000171661377,53.65999984741211,40.04999923706055,89.47000122070312
2013-01-17,17.952856063842773,36.41999816894531,270.4800109863281,34.810001373291016,11.279999732971191,95.30000305175781,100.95999908447266,114.73999786376953,52.40999984741211,30.139999389648438,354.3318786621094,356.0160217285156,65.05000305175781,72.9000015258789,46.439998626708984,37.5099983215332,52.334999084472656,27.25,3.0625,25.455408096313477,69.66999816894531,6.875999927520752,54.400001525878906,39.970001220703125,90.19999694824219
2013-01-18,17.85714340209961,37.31999969482422,272.1199951171875,34.439998626708984,11.140000343322754,95.16000366210938,101.19999694824219,115.23999786376953,52.34000015258789,29.65999984741211,350.9396057128906,352.60760498046875,65.47000122070312,73.2300033569336,46.459999084472656,37.70000076293945,52.099998474121094,27.25,3.0425000190734863,25.180265426635742,69.94000244140625,6.9039998054504395,54.560001373291016,39.567501068115234,90.80000305175781
