,AGG,TIP,SHY,TLT,VNQ,XLE
2020-02-28,116.22,120.03,85.73,155.31,87.33,45.27
2020-03-02,115.94,120.31,85.57,153.94,91.06,47.1
2020-03-03,116.73,121.53,85.905,156.33,90.85,45.66
2020-03-04,116.64,121.35,85.92,154.67,94.28,46.74
2020-03-05,117.0,121.73,86.1,158.52,92.26,45.03
2020-03-06,117.86,122.54,86.2,166.77,90.67,42.5
2020-03-09,117.71,120.02,86.67,171.29,83.68,33.94
2020-03-10,116.38,116.58,86.29,162.51,86.54,35.55
2020-03-11,114.72,113.94,86.19,156.53,81.34,33.67
2020-03-12,110.13,113.67,86.17,157.5,73.1,29.47
2020-03-13,111.86,114.12,86.28,153.94,79.48,32.19
2020-03-16,113.73,113.33,86.42,163.91,65.39,27.81
2020-03-17,110.79,110.16,86.22,152.98,69.17,28.0
2020-03-18,106.57,108.81,86.11,144.35,62.59,23.98
2020-03-19,108.95,110.92,86.26,148.28,62.81,25.61
2020-03-20,110.03,115.86,86.49,159.43,59.68,25.86
2020-03-23,112.64,118.04,86.59,166.0,56.91,23.57
2020-03-24,113.57,118.11,86.47,162.91,62.03,27.35
2020-03-25,114.73,119.25,86.57,162.54,65.37,28.64
2020-03-26,115.08,119.86,86.67,163.34,69.98,30.39
2020-03-27,115.57,120.25,86.65,167.7,70.05,28.33
2020-03-30,115.68,118.34,86.69,166.32,71.58,28.62
2020-03-31,115.37,117.92,86.67,164.97,69.85,29.06
2020-04-01,114.73,118.46,86.62,167.04,65.26,27.62
2020-04-02,114.9,120.27,86.64,168.1,65.48,30.15
2020-04-03,114.98,121.33,86.62,168.5,64.53,29.83
2020-04-06,115.54,121.25,86.56,168.06,69.31,31.41
2020-04-07,115.7,121.17,86.54,166.3,69.95,32.08
2020-04-08,115.81,120.34,86.59,165.09,74.72,34.22
2020-04-09,117.25,121.53,86.62,165.39,78.91,33.91
2020-04-13,116.7,121.75,86.63,163.88,75.59,33.8
2020-04-14,116.76,122.11,86.625,163.84,77.71,33.64
2020-04-15,117.24,122.24,86.66,168.18,74.63,32.06
2020-04-16,117.39,121.18,86.68,170.09,73.78,30.69
2020-04-17,117.25,120.6,86.65,167.81,76.11,33.95
2020-04-20,117.08,120.23,86.65,169.16,73.28,32.89
2020-04-21,117.14,120.84,86.67,171.29,71.95,32.31
2020-04-22,117.14,121.57,86.64,169.54,73.05,33.46
2020-04-23,117.42,121.5,86.63,170.44,72.44,34.54
2020-04-24,117.36,122.19,86.63,170.84,72.75,34.62
2020-04-27,116.82,121.95,86.63,167.66,75.24,35.37
2020-04-28,117.28,122.37,86.66,169.59,75.86,36.18
2020-04-29,117.36,122.22,86.65,168.71,77.0,38.86
2020-04-30,117.1,121.31,86.8,166.74,76.11,38.0
2020-05-01,116.87,121.01,86.6,167.95,73.54,35.85
2020-05-04,116.97,121.13,86.6,167.16,73.18,37.09
2020-05-05,116.88,121.27,86.59,166.09,73.54,37.12
2020-05-06,116.41,120.68,86.62,163.41,72.22,36.15
2020-05-07,116.77,121.44,86.68,166.14,73.25,37.09
2020-05-08,116.46,121.4,86.66,163.98,74.99,38.78
2020-05-11,116.11,120.98,86.63,162.7,73.9,38.1
2020-05-12,116.41,121.09,86.65,164.37,70.54,37.43
2020-05-13,116.6,121.2,86.65,165.52,68.83,35.73
2020-05-14,116.96,121.34,86.63,167.14,69.07,36.13
2020-05-15,117.03,121.55,86.68,166.71,68.8,35.99
2020-05-18,116.86,121.54,86.61,163.05,72.87,38.93
2020-05-19,116.99,121.4,86.66,163.66,71.89,37.84
2020-05-20,117.29,121.76,86.66,164.15,72.53,39.35
2020-05-21,117.38,121.63,86.64,164.56,72.59,38.72
2020-05-22,117.44,121.7,86.64,165.55,73.57,38.48
2020-05-26,117.25,121.25,86.64,163.33,76.32,39.55
2020-05-27,117.42,121.37,86.62,163.03,77.84,40.06
2020-05-28,117.34,121.75,86.66,162.43,78.21,38.94
2020-05-29,117.65,121.8,86.66,163.59,77.43,38.76
2020-06-01,117.37,121.95,86.58,162.28,79.22,39.44
2020-06-02,117.47,121.68,86.58,161.69,79.86,40.54
2020-06-03,117.18,121.28,86.51,159.54,82.42,41.73
2020-06-04,116.83,120.82,86.53,157.23,81.6,41.74
2020-06-05,116.9,120.81,86.5,156.11,84.69,44.84
2020-06-08,117.03,121.07,86.48,156.71,86.79,46.86
2020-06-09,117.18,121.19,86.51,158.49,85.35,45.1
2020-06-10,117.66,122.12,86.56,160.84,83.18,42.88
2020-06-11,117.46,122.16,86.52,163.88,77.84,38.84
2020-06-12,117.58,121.83,86.55,162.3,80.63,39.82
2020-06-15,117.97,121.88,86.53,162.39,81.77,39.94
2020-06-16,117.74,121.82,86.52,159.9,83.38,41.09
2020-06-17,117.64,121.74,86.55,160.56,82.17,39.69
2020-06-18,117.76,122.29,86.54,162.26,81.27,40.18
2020-06-19,117.8,122.53,86.56,162.39,80.09,39.57
2020-06-22,117.77,122.84,86.54,162.41,80.01,39.25
2020-06-23,117.75,122.91,86.56,161.3,79.68,39.29
2020-06-24,117.73,122.74,86.57,163.03,77.41,37.11
2020-06-25,117.87,122.85,86.57,163.5,77.63,37.82
2020-06-26,118.01,123.06,86.6,165.25,76.14,36.51
2020-06-29,118.11,123.2,86.62,164.73,77.61,37.0
2020-06-30,118.21,123.0,86.61,163.93,78.53,37.85
2020-07-01,118.05,123.08,86.52,163.42,80.34,36.93
2020-07-02,118.19,123.42,86.56,163.59,80.11,37.34
2020-07-06,118.18,123.66,86.53,162.92,80.07,37.45
2020-07-07,118.36,123.69,86.55,165.21,78.48,36.26
2020-07-08,118.32,123.47,86.55,164.55,78.37,36.23
2020-07-09,118.63,123.79,86.57,167.17,77.88,34.44
2020-07-10,118.49,123.66,86.54,166.33,78.12,35.54
2020-07-13,118.48,123.93,86.54,166.88,77.19,35.35
2020-07-14,118.67,123.95,86.55,167.12,77.84,36.59
2020-07-15,118.68,123.88,86.56,166.34,78.6,37.38
2020-07-16,118.76,124.13,86.56,167.13,77.66,37.21
2020-07-17,118.88,124.36,86.58,166.78,78.67,36.69
2020-07-20,119.01,124.53,86.56,167.19,77.73,36.08
2020-07-21,119.08,124.81,86.58,167.29,77.92,38.26
2020-07-22,119.18,124.81,86.57,167.79,79.11,37.79
2020-07-23,119.32,124.87,86.57,169.75,78.78,37.72
2020-07-24,119.28,124.84,86.58,169.74,78.2,37.51
2020-07-27,119.2,124.84,86.55,169.11,78.94,37.55
2020-07-28,119.28,125.07,86.57,170.28,80.51,36.91
2020-07-29,119.42,125.36,86.59,169.99,82.07,37.68
2020-07-30,119.51,125.49,86.62,171.11,81.54,36.2
2020-07-31,119.56,125.86,86.63,171.0,81.39,36.03
2020-08-03,119.4,126.03,86.58,169.95,80.31,36.16
2020-08-04,119.63,126.31,86.59,171.57,81.51,37.04
2020-08-05,119.4,126.37,86.57,170.07,81.1,37.43
2020-08-06,119.57,126.51,86.57,171.02,81.23,37.13
2020-08-07,119.43,126.17,86.56,169.88,82.39,37.18
2020-08-10,119.32,126.02,86.54,169.12,82.52,38.33
2020-08-11,118.99,125.74,86.52,167.105,81.33,38.2
2020-08-12,118.75,125.82,86.5,165.59,82.15,38.58
2020-08-13,118.31,125.5,86.49,163.82,81.14,37.83
2020-08-14,118.2,125.29,86.5,163.18,81.15,38.19
2020-08-17,118.36,125.56,86.51,163.59,81.81,37.97
2020-08-18,118.53,126.12,86.52,164.76,81.42,37.49
2020-08-19,118.35,125.74,86.52,163.73,79.99,37.06
2020-08-20,118.56,125.62,86.52,165.21,80.75,36.26
2020-08-21,118.68,126.05,86.51,166.2,80.88,36.03
2020-08-24,118.63,126.3,86.5,165.93,81.4,37.02
2020-08-25,118.38,126.26,86.51,164.66,81.61,36.5
2020-08-26,118.36,126.51,86.51,164.03,80.86,35.73
2020-08-27,117.95,126.01,86.5,161.24,82.05,35.8
2020-08-28,118.11,126.41,86.53,161.12,82.59,36.44
2020-08-31,118.37,126.98,86.56,162.19,81.75,35.65
2020-09-01,118.42,127.05,86.49,163.86,81.81,35.41
2020-09-02,118.66,127.1,86.5,165.42,83.33,35.24
2020-09-03,118.69,126.66,86.49,165.89,82.33,34.98
2020-09-04,118.1,126.27,86.46,162.74,81.9,34.87
2020-09-08,118.23,126.39,86.47,163.74,80.9,33.6
2020-09-09,118.22,126.46,86.48,163.3,81.7,33.83
2020-09-10,118.23,126.57,86.47,164.13,80.7,32.59
2020-09-11,118.37,126.5,86.49,164.48,80.25,32.62
2020-09-14,118.38,126.42,86.48,164.47,82.21,32.87
2020-09-15,118.39,126.51,86.485,164.07,83.2,32.63
2020-09-16,118.33,126.51,86.5,163.58,83.64,33.94
2020-09-17,118.36,126.58,86.48,164.08,82.01,33.99
2020-09-18,118.22,126.47,86.49,163.57,80.16,33.61
2020-09-21,118.24,126.24,86.48,164.4,77.75,31.97
2020-09-22,118.33,126.28,86.5,164.27,78.68,31.64
2020-09-23,118.08,126.15,86.5,164.49,76.31,30.21
2020-09-24,118.09,126.24,86.49,165.12,76.72,30.2
2020-09-25,118.13,126.41,86.5,165.12,77.7,30.18
2020-09-28,118.23,126.67,86.51,164.65,79.29,30.89
2020-09-29,118.25,126.88,86.5,164.84,78.72,30.04
2020-09-30,118.06,126.5,86.51,163.26,78.96,29.95
2020-10-01,118.02,126.06,86.45,163.36,80.54,29.03
2020-10-02,117.9,126.08,86.46,162.75,81.93,29.31
2020-10-05,117.52,125.7,86.43,159.57,82.4,30.19
2020-10-06,117.62,125.72,86.43,160.43,81.86,29.74
2020-10-07,117.54,125.71,86.42,159.26,81.98,30.16
2020-10-08,117.69,126.21,86.42,160.12,83.35,31.29
2020-10-09,117.72,126.25,86.42,160.09,83.02,30.79
2020-10-12,117.95,126.33,86.44,160.6,83.41,30.87
2020-10-13,117.98,126.33,86.43,161.75,81.98,30.39
2020-10-14,118.05,126.33,86.43,162.12,80.98,30.52
2020-10-15,117.95,126.29,86.45,161.84,81.4,30.89
2020-10-16,117.89,126.34,86.44,161.39,80.82,30.19
2020-10-19,117.75,126.04,86.44,160.78,79.56,29.55
2020-10-20,117.65,125.93,86.43,159.25,80.13,29.9
2020-10-21,117.51,125.89,86.43,158.7,79.89,29.33
2020-10-22,117.3,125.7,86.4,157.05,79.88,30.54
2020-10-23,117.47,125.85,86.41,158.01,80.36,30.39
2020-10-26,117.63,125.95,86.42,159.48,79.21,29.3
2020-10-27,117.9,126.2,86.42,160.55,77.94,28.92
2020-10-28,117.73,126.04,86.42,160.7,76.08,27.71
2020-10-29,117.52,125.61,86.44,159.14,77.1,28.56
2020-10-30,117.2,125.23,86.43,157.57,76.59,28.72
2020-11-02,117.22,125.37,86.39,158.58,78.42,29.7
2020-11-03,117.17,125.27,86.37,157.66,79.93,29.53
2020-11-04,117.95,125.48,86.39,161.08,80.07,29.57
2020-11-05,118.06,125.58,86.37,161.36,80.45,29.57
2020-11-06,117.8,125.01,86.38,159.41,79.9,28.93
2020-11-09,117.25,124.65,86.35,156.06,82.73,33.06
2020-11-10,117.06,124.77,86.34,155.16,83.94,34.13
2020-11-11,117.13,124.99,86.32,155.72,84.26,33.78
2020-11-12,117.62,125.34,86.33,158.37,83.16,32.69
2020-11-13,117.64,125.33,86.33,158.16,85.38,33.88
2020-11-16,117.63,125.16,86.35,157.78,86.34,36.11
2020-11-17,117.87,125.37,86.34,158.81,86.42,36.48
2020-11-18,117.95,125.41,86.34,159.27,84.74,35.42
2020-11-19,118.17,125.54,86.36,160.09,85.07,36.0
2020-11-20,118.29,125.82,86.37,161.51,84.61,35.81
2020-11-23,118.26,125.72,86.37,160.77,84.77,38.34
2020-11-24,118.1,125.76,86.38,159.17,85.22,40.31
2020-11-25,118.06,125.97,86.39,158.68,85.27,39.37
2020-11-27,118.26,126.28,86.39,160.22,84.89,38.91
2020-11-30,118.42,126.42,86.41,160.02,84.0,36.76
2020-12-01,117.84,126.0,86.33,157.5,85.08,36.93
2020-12-02,117.71,126.09,86.35,156.25,84.41,38.13
2020-12-03,117.91,126.44,86.37,157.51,85.12,38.53
2020-12-04,117.59,126.17,86.36,155.2,86.42,40.63
2020-12-07,117.77,126.5,86.38,156.6,85.67,39.68
2020-12-08,117.78,126.71,86.36,157.34,85.37,40.27
2020-12-09,117.61,126.55,86.35,156.82,84.84,40.36
2020-12-10,117.9,126.84,86.37,158.21,84.47,41.6
2020-12-11,118.03,126.83,86.42,158.77,84.39,41.12
2020-12-14,117.96,126.83,86.41,158.33,84.02,39.68
2020-12-15,118.03,127.06,86.41,157.8,85.74,40.46
2020-12-16,117.98,127.05,86.41,157.38,85.84,40.26
2020-12-17,117.85,127.1,86.38,156.8,86.67,40.07
2020-12-18,117.79,127.04,86.37,156.33,84.93,39.4
2020-12-21,117.79,127.02,86.37,156.95,84.45,38.13
2020-12-22,117.96,127.14,86.37,157.76,85.04,37.49
2020-12-23,117.88,127.2,86.39,156.67,84.49,38.32
2020-12-24,117.99,127.25,86.37,157.29,83.88,38.12
2020-12-28,118.01,127.34,86.38,157.36,84.38,37.88
2020-12-29,118.03,127.28,86.38,157.16,83.66,37.63
2020-12-30,118.1,127.38,86.385,157.5,84.12,38.22
2020-12-31,118.19,127.65,86.38,157.73,84.93,37.9
2021-01-04,118.04,127.79,86.39,157.54,82.17,37.96
2021-01-05,117.92,127.75,86.39,156.37,82.29,39.66
2021-01-06,117.34,127.37,86.34,153.16,82.43,40.87
2021-01-07,117.22,127.29,86.36,151.81,82.27,41.47
2021-01-08,117.08,126.79,86.35,151.32,83.07,41.42
2021-01-11,116.89,126.52,86.34,151.07,81.97,42.07
2021-01-12,116.99,126.69,86.34,150.95,82.16,43.54
2021-01-13,117.36,126.97,86.33,152.65,83.16,43.2
2021-01-14,117.13,127.03,86.34,151.22,83.65,44.48
2021-01-15,117.25,127.17,86.35,151.82,84.61,42.75
2021-01-19,117.41,127.47,86.38,152.31,84.37,43.61
2021-01-20,117.42,127.66,86.37,152.46,85.98,43.77
2021-01-21,117.25,127.97,86.38,151.39,85.57,42.29
2021-01-22,117.25,127.77,86.38,151.88,85.77,42.07
2021-01-25,117.55,128.1,86.39,153.67,86.42,41.64
2021-01-26,117.51,127.91,86.38,153.38,87.03,40.75
2021-01-27,117.52,127.87,86.38,153.77,85.49,40.2
2021-01-28,117.44,128.12,86.37,152.92,85.95,40.67
2021-01-29,117.31,127.99,86.4,152.0,84.96,39.32
2021-02-01,117.23,127.71,86.38,152.0,86.9,39.6
2021-02-02,117.05,127.9,86.35,151.02,87.42,40.03
2021-02-03,116.91,127.83,86.36,149.68,87.2,41.74
2021-02-04,116.86,127.74,86.36,149.28,87.8,42.2
2021-02-05,116.71,127.71,86.38,148.03,88.11,42.56
2021-02-08,116.83,127.83,86.37,148.68,88.59,44.34
2021-02-09,116.88,127.9,86.35,148.79,88.9,43.87
2021-02-10,116.99,128.01,86.36,149.78,89.38,44.71
2021-02-11,116.85,127.86,86.36,148.96,89.57,44.02
2021-02-12,116.58,127.65,86.37,147.11,89.59,44.67
2021-02-16,116.03,127.03,86.34,144.87,88.9,45.79
2021-02-17,116.26,126.98,86.36,145.79,88.79,46.47
2021-02-18,116.2,126.45,86.36,145.2,88.41,45.42
2021-02-19,115.84,125.91,86.37,143.27,88.92,46.18
2021-02-22,115.48,125.9,86.35,142.18,89.66,47.78
2021-02-23,115.51,125.93,86.36,141.77,90.22,48.57
2021-02-24,115.47,125.83,86.335,140.84,90.91,50.29
2021-02-25,114.41,124.29,86.21,138.54,89.17,49.32
2021-02-26,115.34,125.83,86.32,143.12,87.87,48.15
2021-03-01,115.09,125.41,86.29,141.06,88.26,49.4
2021-03-02,115.11,125.92,86.31,141.07,87.41,49.13
2021-03-03,114.69,125.6,86.26,139.54,86.91,49.85
2021-03-04,114.36,125.12,86.26,138.64,85.92,51.04
2021-03-05,114.28,125.25,86.26,138.91,86.86,52.95
2021-03-08,113.83,124.56,86.23,137.83,87.61,53.05
2021-03-09,114.26,125.34,86.23,139.74,88.19,52.12
2021-03-10,114.45,125.91,86.26,140.02,89.07,53.44
2021-03-11,114.44,126.02,86.26,139.01,90.11,53.46
2021-03-12,113.79,125.03,86.25,136.06,91.62,53.57
2021-03-15,113.91,125.4,86.26,136.86,92.98,52.96
2021-03-16,113.87,125.66,86.26,136.31,92.6,51.45
2021-03-17,113.86,125.55,86.28,135.29,92.68,51.85
2021-03-18,113.42,124.66,86.27,133.92,91.74,49.52
2021-03-19,113.51,124.9,86.27,134.75,90.49,49.53
2021-03-22,113.73,125.5,86.26,136.26,91.13,48.54
2021-03-23,114.02,125.76,86.27,137.49,91.0,47.83
2021-03-24,114.16,126.09,86.29,138.23,90.49,49.03
2021-03-25,114.1,126.0,86.3,137.14,90.88,49.21
2021-03-26,113.91,126.03,86.3,136.66,92.84,50.43
2021-03-29,113.72,125.69,86.28,135.5,92.3,49.83
2021-03-30,113.81,125.47,86.28,136.21,92.42,49.4
2021-03-31,113.83,125.5,86.25,135.45,91.86,49.06
2021-04-01,114.04,125.56,86.23,137.51,93.53,50.31
2021-04-05,113.81,125.2,86.21,136.91,93.89,49.11
2021-04-06,114.21,125.27,86.23,137.84,94.13,48.98
2021-04-07,114.03,125.35,86.24,136.88,94.2,49.15
2021-04-08,114.31,125.63,86.27,138.01,93.85,48.51
2021-04-09,114.18,125.36,86.24,137.51,93.74,48.19
2021-04-12,114.15,125.38,86.225,137.47,94.29,47.81
2021-04-13,114.48,125.84,86.25,138.47,94.76,47.86
2021-04-14,114.39,125.84,86.25,138.04,94.26,49.19
2021-04-15,114.84,126.52,86.265,140.32,95.91,48.79
2021-04-16,114.54,126.48,86.255,139.29,96.12,48.4
2021-04-19,114.45,126.26,86.2515,138.89,96.31,48.35
2021-04-20,114.63,126.34,86.28,139.5,97.1,47.07
2021-04-21,114.74,126.46,86.28,139.75,97.74,47.67
2021-04-22,114.77,126.61,86.28,140.39,97.21,47.11
2021-04-23,114.75,126.67,86.26,140.06,97.78,47.54
2021-04-26,114.65,126.74,86.24,139.86,98.07,47.86
2021-04-27,114.37,126.73,86.23,138.64,98.06,48.44
2021-04-28,114.43,127.13,86.25,138.73,97.85,50.11
2021-04-29,114.37,127.07,86.27,138.32,98.69,50.67
2021-04-30,114.49,126.99,86.28,138.64,99.08,49.39
2021-05-03,114.39,126.79,86.26,138.52,98.89,50.75
2021-05-04,114.53,127.08,86.26,139.46,98.25,50.78
2021-05-05,114.62,127.65,86.28,139.69,96.62,52.42
2021-05-06,114.64,127.5,86.27,139.89,97.16,52.69
2021-05-07,114.61,127.77,86.31,139.23,98.44,53.63
2021-05-10,114.43,127.83,86.28,137.82,98.41,53.68
2021-05-11,114.18,127.49,86.27,137.04,97.17,52.27
2021-05-12,113.78,127.27,86.26,135.6,94.71,52.52
2021-05-13,114.04,127.3,86.28,135.79,95.94,51.88
2021-05-14,114.3,127.75,86.28,137.06,97.08,53.49
2021-05-17,114.2,128.0,86.28,136.79,97.18,54.73
2021-05-18,114.06,127.81,86.29,136.44,97.2,53.46
2021-05-19,113.9,126.94,86.26,136.11,96.89,52.13
2021-05-20,114.29,127.09,86.3,137.23,97.98,52.05
2021-05-21,114.34,127.32,86.28,137.67,97.88,52.16
2021-05-24,114.45,127.63,86.3,138.18,99.1,52.68
2021-05-25,114.73,127.99,86.3,139.46,99.07,51.61
2021-05-26,114.69,127.7,86.32,139.22,99.51,52.07
2021-05-27,114.55,127.69,86.32,138.655,99.28,52.11
2021-05-28,114.55,127.77,86.32,138.44,99.88,52.21
2021-06-01,114.33,127.46,86.29,138.21,101.68,54.22
2021-06-02,114.48,127.3,86.3,138.53,102.87,55.23
2021-06-03,114.21,126.87,86.27,138.01,102.49,55.38
2021-06-04,114.68,127.48,86.3,139.9,102.54,55.75
2021-06-07,114.6,127.2,86.29,139.47,103.75,55.51
2021-06-08,114.81,127.33,86.31,140.45,104.61,55.99
2021-06-09,115.04,127.34,86.29,141.69,104.75,55.64
2021-06-10,115.28,128.0,86.32,142.54,105.5,55.57
2021-06-11,115.23,127.67,86.3,142.31,105.08,55.38
2021-06-14,114.94,127.6,86.27,141.22,105.49,55.14
2021-06-15,114.99,127.81,86.26,141.05,104.36,56.19
2021-06-16,114.62,126.65,86.18,140.93,103.68,55.89
2021-06-17,114.98,127.13,86.175,143.04,103.55,53.99
2021-06-18,115.29,127.18,86.11,145.73,101.79,52.39
2021-06-21,114.99,126.96,86.13,143.29,103.89,54.07
2021-06-22,115.11,127.66,86.18,143.64,103.35,54.43
2021-06-23,115.05,127.69,86.12,143.27,103.17,54.56
2021-06-24,115.09,127.45,86.13,143.5,102.22,55.05
2021-06-25,114.86,127.58,86.12,142.01,102.91,55.34
2021-06-28,115.19,127.77,86.15,143.47,102.61,53.47
2021-06-29,115.25,127.84,86.14,143.71,102.33,53.21
2021-06-30,115.33,128.01,86.16,144.35,101.79,53.87
2021-07-01,115.11,127.3,86.13,144.17,102.23,54.81
2021-07-02,115.36,127.84,86.17,145.04,102.54,54.69
2021-07-06,115.73,128.17,86.2,146.74,103.29,52.91
2021-07-07,115.93,128.08,86.21,148.04,103.65,52.05
2021-07-08,116.06,127.91,86.25,148.62,103.36,51.75
2021-07-09,115.68,127.93,86.22,146.53,105.06,52.85
2021-07-12,115.61,128.27,86.2,146.34,105.96,52.77
2021-07-13,115.36,128.27,86.13,145.22,104.48,52.37
2021-07-14,115.75,128.61,86.19,146.87,105.21,50.81
2021-07-15,116.0,129.0,86.2,148.49,105.38,50.1
2021-07-16,115.9,129.0,86.19,148.21,105.31,48.68
2021-07-19,116.51,129.05,86.23,151.46,103.39,46.96
2021-07-20,116.4,129.03,86.27,150.0,105.83,47.59
2021-07-21,116.02,128.7,86.24,148.1,105.82,49.25
2021-07-22,116.29,129.06,86.25,149.5,104.98,48.7
2021-07-23,116.21,129.64,86.26,148.5,105.85,48.52
2021-07-26,116.11,130.2,86.24,148.06,105.9,49.72
2021-07-27,116.38,130.17,86.26,149.64,106.5,49.26
2021-07-28,116.49,130.61,86.27,149.65,106.13,49.71
2021-07-29,116.3,130.38,86.27,148.82,106.15,50.19
2021-07-30,116.46,130.58,86.285,149.52,106.29,49.39
2021-08-02,116.54,129.85,86.31,150.67,106.06,49.02
2021-08-03,116.58,129.97,86.31,150.75,106.19,49.86
2021-08-04,116.57,129.72,86.28,151.06,105.86,48.51
2021-08-05,116.31,129.26,86.24,150.29,107.1,49.06
2021-08-06,115.79,128.97,86.21,147.78,106.91,49.51
2021-08-09,115.58,128.74,86.18,147.25,106.34,48.81
2021-08-10,115.43,128.86,86.15,146.57,105.33,49.67
2021-08-11,115.54,129.07,86.19,146.48,105.95,50.06
2021-08-12,115.55,128.97,86.185,146.24,106.18,50.01
2021-08-13,115.97,129.3,86.2,148.55,106.76,49.42
2021-08-16,116.03,129.43,86.22,148.91,106.63,48.51
2021-08-17,115.94,129.08,86.2,148.85,106.52,48.01
2021-08-18,115.95,129.1,86.2,149.35,105.55,47.01
2021-08-19,116.15,129.15,86.2,150.45,106.06,45.79
2021-08-20,116.16,128.75,86.2,150.55,106.59,45.89
2021-08-23,116.16,129.05,86.2,150.45,106.39,47.61
2021-08-24,115.99,129.05,86.185,149.28,105.92,48.4
2021-08-25,115.77,129.0,86.18,148.04,105.85,48.77
2021-08-26,115.78,129.02,86.18,148.45,105.89,48.03
2021-08-27,116.1,129.99,86.24,149.46,107.0,49.31
2021-08-30,116.23,129.97,86.26,149.85,108.07,48.73
2021-08-31,116.06,129.59,86.25,148.83,108.58,48.4
2021-09-01,115.93,128.75,86.23,148.89,110.32,47.69
2021-09-02,116.05,128.8,86.23,149.54,110.9,48.9
2021-09-03,115.85,128.62,86.23,148.18,110.92,48.62
2021-09-07,115.54,128.3,86.2,146.93,109.67,48.33
2021-09-08,115.73,128.82,86.22,147.93,110.22,47.71
2021-09-09,116.1,129.5,86.24,149.72,107.98,47.81
2021-09-10,115.87,129.14,86.21,148.4,106.4,47.79
2021-09-13,116.02,129.14,86.23,149.3,107.12,49.16
2021-09-14,116.28,129.21,86.24,151.11,106.93,48.45
2021-09-15,116.17,129.28,86.24,150.58,107.27,50.26
2021-09-16,115.97,129.07,86.21,149.89,107.36,49.69
2021-09-17,115.87,128.7,86.19,149.17,106.4,49.32
2021-09-20,116.09,128.82,86.21,151.02,105.75,47.24
2021-09-21,116.14,128.73,86.23,150.89,105.8,47.35
2021-09-22,116.18,128.6,86.18,151.79,106.83,48.81
2021-09-23,115.61,128.14,86.13,148.36,106.62,50.52
2021-09-24,115.41,127.82,86.1,146.94,104.83,50.9
2021-09-27,115.25,127.88,86.09,146.37,103.42,52.71
2021-09-28,114.77,127.6,86.1,144.09,102.72,52.89
2021-09-29,114.85,127.67,86.13,144.34,103.49,52.89
2021-09-30,114.83,127.69,86.15,144.32,101.78,52.09
2021-10-01,115.0,127.81,86.18,145.35,103.22,53.84
2021-10-04,114.92,127.8,86.14,144.98,103.24,54.72
2021-10-05,114.65,127.93,86.13,143.58,102.53,55.04
2021-10-06,114.7,127.86,86.12,144.39,103.51,54.46
2021-10-07,114.38,127.75,86.09,142.88,103.79,54.88
2021-10-08,114.13,127.78,86.06,141.88,102.81,56.57
2021-10-11,113.95,127.7,85.99,141.52,103.07,56.36
2021-10-12,114.37,127.94,86.03,143.94,104.42,56.41
2021-10-13,114.63,128.52,86.0,145.34,105.18,56.36
2021-10-14,114.85,128.77,86.0,145.88,106.46,57.05
2021-10-15,114.57,128.56,85.95,145.03,106.38,57.33
2021-10-18,114.49,128.29,85.89,145.71,106.65,57.37
2021-10-19,114.16,127.98,85.92,143.7,106.7,58.02
2021-10-20,114.08,128.21,85.95,142.73,108.38,58.49
2021-10-21,113.84,128.5,85.85,142.56,108.53,57.41
2021-10-22,114.06,128.76,85.83,144.13,109.04,57.95
2021-10-25,114.17,129.07,85.87,143.91,109.39,58.8
2021-10-26,114.38,129.52,85.85,145.1,109.69,59.14
2021-10-27,114.76,130.13,85.83,147.74,108.76,57.44
2021-10-28,114.67,129.0,85.84,147.24,110.28,57.85
2021-10-29,114.64,128.67,85.85,147.69,109.04,57.47
2021-11-01,114.39,128.04,85.8,146.44,109.58,58.46
2021-11-02,114.62,128.55,85.89,147.09,110.1,57.91
2021-11-03,114.39,128.37,85.87,145.57,110.47,57.43
2021-11-04,114.77,129.22,85.95,147.1,109.42,57.51
2021-11-05,115.22,129.67,85.99,149.3,109.98,58.26
2021-11-08,115.01,130.1,85.89,149.02,109.89,58.79
2021-11-09,115.33,130.86,85.94,150.96,110.08,59.03
2021-11-10,114.55,130.46,85.77,148.2,109.57,57.47
2021-11-11,114.34,130.44,85.71,147.98,109.75,57.69
2021-11-12,114.32,130.42,85.78,147.33,109.67,57.55
2021-11-15,113.9,130.44,85.77,145.48,110.44,58.03
2021-11-16,113.86,130.25,85.77,145.11,109.71,58.12
2021-11-17,114.13,130.51,85.8,146.26,110.05,57.23
2021-11-18,114.23,130.59,85.79,146.81,110.07,56.89
2021-11-19,114.45,130.35,85.77,148.36,109.42,54.67
2021-11-22,113.9,129.3,85.67,146.62,108.88,55.64
2021-11-23,113.45,128.8,85.67,144.5,109.76,57.35
2021-11-24,113.71,129.2,85.65,146.82,111.09,57.91
2021-11-26,114.52,129.84,85.82,150.53,108.0,55.58
2021-11-29,114.58,129.54,85.86,149.32,108.8,55.9
2021-11-30,114.77,129.66,85.79,151.59,106.74,54.59
2021-12-01,114.63,129.07,85.75,152.34,104.98,54.01
2021-12-02,114.61,129.45,85.64,152.53,108.13,55.58
2021-12-03,115.07,129.72,85.69,154.35,107.77,55.14
2021-12-06,114.67,129.13,85.62,152.23,109.66,55.96
2021-12-07,114.49,129.34,85.51,151.0,111.24,57.27
2021-12-08,114.19,129.12,85.54,148.39,112.04,57.26
